"Gene","AUC"
"ENSG00000232220",0.8125
"ENSG00000236279",0.8125
"ENSG00000237740",0.8125
"ENSG00000249363",0.8125
"ENSG00000250891",0.8125
"ENSG00000253365",0.8125
"ENSG00000253625",0.8125
"ENSG00000255197",0.8125
"ENSG00000256124",0.8125
"ENSG00000257038",0.8125
"ENSG00000258553",0.8125
"ENSG00000276600",0.8125
"ENSG00000278909",0.8125
"ENSG00000286098",0.8125
"ENSG00000286715",0.8125
"ENSG00000287185",0.8125
"ENSG00000289555",0.8125
"ENSG00000290108",0.8125
"ENSG00000295161",0.8125
"ENSG00000296963",0.8125
"ENSG00000298116",0.8125
"ENSG00000298609",0.8125
"ENSG00000298780",0.8125
"ENSG00000298945",0.8125
"ENSG00000302499",0.8125
"ENSG00000302738",0.8125
"ENSG00000305985",0.8125
"ENSG00000120669",0.8125
"ENSG00000126856",0.8125
"ENSG00000163734",0.8125
"ENSG00000225611",0.8125
"ENSG00000237781",0.8125
"ENSG00000254415",0.8125
"ENSG00000272170",0.8125
"ENSG00000277170",0.8125
"ENSG00000283839",0.8125
"ENSG00000287094",0.8125
"ENSG00000303329",0.8125
"ENSG00000307007",0.8125
"ENSG00000163220",0.8125
"ENSG00000241738",0.803571428571429
"ENSG00000267871",0.803571428571429
"ENSG00000286012",0.803571428571429
"ENSG00000294584",0.803571428571429
"ENSG00000070614",0.803571428571429
"ENSG00000084234",0.803571428571429
"ENSG00000101115",0.803571428571429
"ENSG00000102539",0.803571428571429
"ENSG00000104804",0.803571428571429
"ENSG00000106976",0.803571428571429
"ENSG00000115129",0.803571428571429
"ENSG00000120594",0.803571428571429
"ENSG00000128254",0.803571428571429
"ENSG00000128322",0.803571428571429
"ENSG00000131969",0.803571428571429
"ENSG00000132010",0.803571428571429
"ENSG00000135116",0.803571428571429
"ENSG00000137177",0.803571428571429
"ENSG00000138615",0.803571428571429
"ENSG00000138670",0.803571428571429
"ENSG00000145287",0.803571428571429
"ENSG00000147465",0.803571428571429
"ENSG00000153721",0.803571428571429
"ENSG00000154133",0.803571428571429
"ENSG00000155792",0.803571428571429
"ENSG00000157404",0.803571428571429
"ENSG00000161642",0.803571428571429
"ENSG00000162849",0.803571428571429
"ENSG00000164237",0.803571428571429
"ENSG00000164855",0.803571428571429
"ENSG00000166535",0.803571428571429
"ENSG00000166743",0.803571428571429
"ENSG00000167642",0.803571428571429
"ENSG00000167701",0.803571428571429
"ENSG00000167880",0.803571428571429
"ENSG00000168961",0.803571428571429
"ENSG00000169224",0.803571428571429
"ENSG00000169291",0.803571428571429
"ENSG00000169635",0.803571428571429
"ENSG00000171604",0.803571428571429
"ENSG00000175471",0.803571428571429
"ENSG00000180596",0.803571428571429
"ENSG00000181908",0.803571428571429
"ENSG00000182676",0.803571428571429
"ENSG00000183018",0.803571428571429
"ENSG00000184428",0.803571428571429
"ENSG00000187824",0.803571428571429
"ENSG00000187905",0.803571428571429
"ENSG00000196366",0.803571428571429
"ENSG00000198685",0.803571428571429
"ENSG00000204219",0.803571428571429
